property_id,legacy_id,title,property_type,price_inr,price_formatted,bhk,bedrooms,covered_parking,location,address,city,latitude,longitude,commute_minutes,commute_mode,school_distance_km,hospital_distance_km,park_distance_km,noise_level,green_score,amenity_score,match_score,amenities,seller_id,seller_name,seller_type,seller_phone,seller_email,status,views,shortlists,enquiries,images,description
landmark_prop_001,P03,Whispering Pines Villa,Villa,6300000,₹63 Lakhs,3,3,Yes,Vadavalli Foothills,"Vadavalli Foothills, Marudhamalai Road",Coimbatore,11.031,76.9015,26,Car,1.5,2.8,0.3,low,98,82,88,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,430,35,14,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,"Independent 3BHK duplex villa nestled against the Western Ghats breeze. Features private terrace organic garden, high ceilings, Italian marble living lounge, and serene noise ratings."
landmark_prop_002,,Landmark Imperial Towers,Apartment,5100000,₹51 Lakhs,2,2,Yes,Gandhipuram Central,"Cross Cut Road, Gandhipuram",Coimbatore,11.018,76.966,20,Metro / Transit,1,1.2,0.9,medium,79,94,86,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,380,26,9,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80,"Centrally positioned 2BHK executive condo with effortless walking access to city shopping hubs, multi-cuisine dining avenues, and express bus interchanges."
landmark_prop_003,,Landmark Boulevard Court,Apartment,6700000,₹67 Lakhs,3,3,Yes,Saibaba Colony,"NSR Road, Saibaba Colony",Coimbatore,11.0255,76.945,24,Car,0.8,1.4,0.4,low,93,90,91,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,460,38,13,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,"Premium family apartment in peaceful Saibaba Colony enclave. Beautiful canopy tree views, expansive balconies, and close proximity to top matriculation schools."
landmark_prop_004,,Landmark Meadows Villa,Villa,8800000,₹88 Lakhs,4,4,Yes,Thondamuthur Road,"Thondamuthur Road, Near Isha Foothills",Coimbatore,11.009,76.885,32,Car,2.5,3.2,0.1,low,99,95,84,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,510,44,17,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80,"Luxury eco-villa community situated amidst coconut palms and mountain breezes. Private swimming pool, yoga gazebo, and 100% solar captive energy generation."
landmark_prop_005,,Landmark Crest Residences,Apartment,4600000,₹46 Lakhs,2,2,Yes,Ramanathapuram,"Trichy Road, Ramanathapuram",Coimbatore,10.995,76.985,19,Transit / Scooter,1.3,1.7,0.8,low,82,85,92,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,340,22,8,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,"Affordable and stylish 2BHK layout crafted for young home buyers. Low maintenance community charges, covered reserved parking, and security CCTV ring."
landmark_prop_006,,Landmark Royal Orchards,Villa,7400000,₹74 Lakhs,3,3,Yes,Kovaipudur Hills,Kovaipudur Main Road,Coimbatore,10.938,76.942,28,Car,1.9,2.6,0.4,low,97,88,87,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,420,32,11,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80,"Gentle hill-elevation villa blessed with 'Little Ooty' climate year-round. Private portico, landscaped front lawn, and dedicated clubhouse gymnasium."
landmark_prop_007,,Landmark Serenity Park,Apartment,5400000,₹54 Lakhs,2,2,Yes,RS Puram North,"Diwan Bahadur Road, RS Puram",Coimbatore,11.011,76.951,23,Car,1,1.3,0.5,low,89,92,93,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,470,39,14,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,Sought-after residential address bordering premier boutique shopping streets and cultural centers. Excellent natural cross-ventilation and modular kitchen.
landmark_prop_008,,Landmark Highpoint Suites,Apartment,6900000,₹69 Lakhs,3,3,Yes,Trichy Road,"Trichy Road, Sungam Bypass",Coimbatore,10.9995,76.988,21,Car / Bus,1.6,1.8,0.7,low,86,91,90,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,440,34,12,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,Strategic location offering seamless arterial access to both downtown commercial towers and the upcoming southern industrial corridor.
landmark_prop_009,,Landmark Heritage Enclave,Independent House,7900000,₹79 Lakhs,3,3,Yes,Perur Bypass,"Perur Main Road, Siruvani Greenway",Coimbatore,10.975,76.92,27,Car,1.8,2.7,0.3,low,96,87,87,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,395,28,10,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80,Traditional Dravidian architectural aesthetics harmonized with modern earthquake-resistant structural engineering. Features red terracotta courtyard tile and rainwater recharge wells.
landmark_prop_010,,Landmark Pinnacle Vista,Apartment,4800000,₹48 Lakhs,2,2,Yes,Sundarapuram Junction,"Pollachi Main Road, Sundarapuram",Coimbatore,10.952,76.978,25,Bus / Scooter,1.4,2.1,0.7,low,84,86,91,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_02,Landmark Realty,Real Estate Developer,+91 98432 76120,contact@landmarkrealty.in,active,360,25,8,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,Value-packed 2BHK corner unit with clear sky illumination. Close proximity to SIDCO manufacturing hub and engineering colleges.
greenspaces_prop_001,P05,Lotus Grandeur Eco Towers,Apartment,6400000,₹64 Lakhs,3,3,Yes,RS Puram Central,"West Club Road, RS Puram",Coimbatore,11.0085,76.9535,22,Car,1.2,1.5,0.3,low,98,94,93,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,480,40,15,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,"Signature IGBC Platinum rated green residence incorporating vertical oxygen gardens, non-toxic organic paints, and solar-filtered tap water."
greenspaces_prop_002,,GreenSpaces Symphony Suites,Apartment,4700000,₹47 Lakhs,2,2,Yes,Kovaipudur Valley,"Kovaipudur Hills, Sector 4",Coimbatore,10.942,76.938,27,Car / Bus,1.7,2.3,0.4,low,96,87,91,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,390,31,11,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,Quiet micro-climate apartment nestled below whispering pine ridges. Pristine air quality index ratings and zero automotive pollution.
greenspaces_prop_003,,GreenSpaces Nature Crest,Villa,8200000,₹82 Lakhs,3,3,Yes,Marudhamalai Foothills,"Marudhamalai Temple Road, Somayampalayam",Coimbatore,11.041,76.892,29,Car,2.1,3,0.2,low,99,93,87,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,465,39,14,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,"Pure sanctuary luxury. Custom independent villa with private meditation courtyard, panoramic mountain sunset decks, and organic community farming plots."
greenspaces_prop_004,,GreenSpaces Evergreen Heights,Apartment,5300000,₹53 Lakhs,2,2,Yes,Thudiyalur Junction,"Mettupalayam Road, Thudiyalur",Coimbatore,11.078,76.945,19,Car / Metro,1.1,1.8,0.6,low,88,89,94,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,370,27,9,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,Northern growth hub apartment near major tech parks and CBSE academy clusters. Excellent groundwater replenishment and 100% LED smart lighting.
greenspaces_prop_005,,GreenSpaces Solar Vista,Apartment,6600000,₹66 Lakhs,3,3,Yes,Saravanampatti North,"Sathy Road, Near IT SEZ",Coimbatore,11.089,77.005,13,Scooter / Walk,1.9,2.1,0.7,low,94,92,93,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,450,36,13,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,"Net-zero energy ready 3BHK residence engineered with solar thermal water heating, greywater recycling gardens, and acoustic insulated party walls."
greenspaces_prop_006,,GreenSpaces Eco Harmony,Apartment,4500000,₹45 Lakhs,2,2,Yes,Singanallur Greenway,"Kamarajar Road, Singanallur",Coimbatore,11.0025,77.016,17,Transit / Metro,1.3,1.6,0.5,low,90,84,92,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,320,21,7,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,"Compact, affordable green home with maximum thermal comfort design that reduces air-conditioning needs by 35% through smart overhangs."
greenspaces_prop_007,,GreenSpaces Flora Meadows,Villa,9400000,₹94 Lakhs,4,4,Yes,Alandurai Green Belt,"Siruvani Main Road, Alandurai",Coimbatore,10.962,76.845,35,Car,3,3.5,0.1,low,100,96,83,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,490,42,16,https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80,Palatial ecological estate villa surrounded by teak and sandalwood groves with uninterrupted mountain panoramas and pure Siruvani drinking water supply.
greenspaces_prop_008,,GreenSpaces Canopy Homes,Apartment,7100000,₹71 Lakhs,3,3,Yes,Ganapathy East,"Athipalayam Road, Ganapathy",Coimbatore,11.039,76.982,16,Car / Scooter,1,1.7,0.4,low,93,91,94,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,410,33,12,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1000&q=80,Luxury botanical apartments where every home has an oversized timber deck terrace facing lush tree foliage. Central clubhouse with organic juice bar.
greenspaces_prop_009,,GreenSpaces Tranquil Courtyard,Apartment,5000000,₹50 Lakhs,2,2,Yes,Vellakinar Village,"Near IT Corridor, Vellakinar",Coimbatore,11.065,76.965,15,Scooter / Bus,1.5,2,0.3,low,92,87,95,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,350,26,9,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1000&q=80,Intimate low-rise gated apartment enclave built around a central rainwater pond with lotus fountains and reading gazebos.
greenspaces_prop_010,,GreenSpaces Eden Residences,Apartment,6200000,₹62 Lakhs,3,3,Yes,Podanur Main Road,"Chettipalayam Road, Podanur",Coimbatore,10.965,76.995,24,Car / Train,1.6,2.2,0.5,low,91,89,91,Supermarket; School; Park; Gym; Parking; 24/7 Security,usr_seller_03,GreenSpaces Builders,Real Estate Developer,+91 97915 45231,hello@greenspacesbuilders.in,active,370,28,10,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1000&q=80; https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1000&q=80,"Quiet green residential living with zero railway horn disturbances. Features butterfly sensory gardens, solar water pumps, and high speed EV fast chargers."
